Postcode, Number of PNs , Face Value ($) 
2810, 203 ," 56,125 "
2293, 199 ," 50,431 "
2646, 195 ," 52,448 "
2278, 194 ," 53,598 "
2328, 194 ," 49,252 "
2832, 192 ," 53,117 "
2354, 190 ," 55,516 "
2548, 189 ," 49,387 "
2642, 186 ," 46,777 "
2336, 181 ," 51,453 "
2267, 178 ," 47,772 "
2423, 176 ," 49,883 "
2059, 175 ," 42,961 "
2824, 173 ," 49,185 "
2840, 173 ," 55,162 "
2825, 169 ," 49,001 "
2388, 163 ," 45,233 "
2848, 162 ," 40,642 "
2831, 160 ," 46,523 "
2346, 160 ," 42,027 "
2080, 157 ," 49,286 "
2578, 154 ," 40,547 "
2329, 154 ," 38,389 "
2292, 153 ," 42,118 "
2757, 150 ," 40,820 "
2569, 150 ," 42,141 "
2665, 150 ," 37,405 "
2538, 150 ," 40,203 "
2439, 149 ," 41,700 "
2583, 149 ," 37,854 "
2775, 148 ," 38,311 "
2449, 147 ," 33,105 "
2352, 145 ," 40,649 "
2294, 145 ," 35,888 "
2849, 144 ," 34,413 "
2711, 143 ," 36,243 "
2012, 141 ," 55,698 "
2587, 140 ," 35,894 "
2488, 140 ," 35,996 "
2784, 139 ," 37,299 "
2681, 139 ," 34,870 "
2425, 137 ," 35,923 "
2471, 137 ," 36,037 "
2473, 136 ," 36,290 "
3644, 134 ," 30,494 "
2372, 134 ," 36,542 "
2722, 133 ," 37,022 "
2453, 133 ," 40,358 "
2296, 131 ," 36,592 "
2701, 130 ," 33,443 "
2669, 128 ," 32,077 "
2421, 128 ," 33,402 "
2057, 126 ," 40,110 "
2338, 122 ," 33,168 "
2751, 121 ," 52,295 "
2844, 119 ," 31,908 "
2472, 119 ," 31,283 "
2586, 117 ," 33,151 "
2551, 111 ," 31,173 "
2707, 111 ," 23,307 "
2675, 110 ," 29,998 "
2706, 107 ," 25,172 "
2297, 107 ," 30,326 "
2643, 105 ," 27,858 "
2823, 105 ," 25,332 "
2843, 104 ," 25,788 "
2628, 103 ," 25,153 "
2568, 103 ," 23,323 "
2129, 103 ," 35,614 "
2381, 103 ," 26,299 "
2427, 102 ," 24,718 "
2713, 101 ," 26,474 "
2644, 99 ," 24,501 "
2549, 99 ," 26,212 "
2672, 98 ," 26,534 "
2869, 97 ," 29,632 "
2347, 97 ," 27,790 "
2651, 96 ," 29,025 "
2462, 92 ," 25,375 "
2703, 91 ," 21,344 "
2864, 90 ," 19,589 "
2793, 89 ," 23,681 "
2520, 89 ," 21,442 "
2731, 89 ," 23,904 "
2002, 86 ," 28,500 "
2382, 86 ," 23,285 "
2466, 84 ," 22,987 "
2341, 81 ," 18,972 "
2653, 80 ," 22,349 "
3585, 80 ," 18,483 "
2312, 79 ," 21,399 "
2581, 78 ," 22,301 "
2402, 75 ," 19,718 "
2714, 71 ," 17,474 "
2875, 71 ," 19,093 "
2311, 71 ," 19,389 "
2839, 70 ," 20,342 "
2660, 68 ," 15,413 "
2842, 66 ," 16,593 "
2656, 65 ," 20,200 "
2632, 64 ," 18,559 "
2806, 64 ," 15,011 "
2730, 63 ," 19,040 "
2396, 63 ," 17,401 "
2865, 62 ," 12,132 "
2339, 62 ," 13,350 "
2395, 61 ," 16,769 "
2353, 61 ," 15,187 "
2658, 58 ," 16,263 "
2302, 58 ," 14,661 "
2729, 57 ," 14,671 "
2404, 57 ," 13,884 "
2655, 56 ," 13,331 "
2371, 55 ," 14,008 "
2868, 54 ," 16,188 "
2647, 54 ," 13,522 "
2716, 53 ," 12,335 "
2702, 53 ," 12,306 "
2308, 50 ," 17,263 "
2359, 49 ," 12,757 "
2712, 48 ," 10,304 "
2369, 47 ," 13,385 "
2805, 46 ," 12,254 "
2828, 46 ," 11,510 "
2648, 46 ," 12,446 "
2715, 44 ," 10,237 "
2345, 44 ," 13,183 "
2545, 43 ," 11,519 "
2867, 42 ," 9,772 "
2403, 41 ," 10,966 "
2738, 40 ," 12,314 "
2874, 39 ," 9,617 "
2797, 38 ," 10,400 "
2563, 38 ," 9,170 "
2668, 36 ," 8,073 "
2807, 36 ," 10,863 "
2818, 35 ," 8,452 "
2791, 34 ," 6,156 "
2792, 34 ," 7,755 "
2833, 34 ," 9,537 "
2555, 34 ," 9,896 "
2344, 34 ," 9,195 "
2399, 34 ," 9,100 "
2876, 33 ," 7,802 "
2659, 33 ," 7,401 "
2342, 33 ," 8,676 "
2406, 33 ," 8,599 "
2052, 31 ," 6,414 "
2397, 31 ," 8,055 "
2836, 30 ," 9,559 "
2623, 30 ," 9,592 "
2309, 30 ," 10,865 "
2379, 30 ," 10,803 "
2426, 29 ," 12,510 "
2351, 29 ," 8,922 "
2584, 28 ," 7,518 "
2386, 28 ," 6,803 "
2355, 28 ," 11,107 "
2846, 27 ," 6,120 "
2361, 27 ," 6,575 "
2465, 26 ," 7,356 "
2631, 26 ," 6,258 "
2490, 25 ," 6,961 "
2873, 24 ," 7,200 "
2727, 24 ," 7,461 "
2629, 23 ," 6,389 "
2737, 23 ," 7,723 "
2424, 22 ," 4,772 "
2739, 21 ," 5,825 "
2588, 20 ," 5,787 "
2717, 19 ," 5,189 "
2415, 19 ," 4,547 "
2405, 19 ," 4,733 "
2725, 18 ," 3,833 "
2732, 18 ," 6,487 "
3707, 17 ," 4,283 "
2476, 17 ," 5,348 "
2878, 16 ," 4,787 "
2409, 16 ," 4,525 "
2401, 16 ," 4,490 "
2803, 15 ," 3,940 "
2879, 15 ," 3,687 "
2733, 15 ," 6,212 "
2585, 15 ," 4,140 "
2387, 15 ," 4,020 "
2398, 15 ," 4,273 "
2809, 13 ," 3,030 "
2645, 13 ," 3,151 "
2726, 13 ," 3,141 "
2626, 13 ," 4,797 "
2408, 13 ," 2,843 "
2625, 12 ," 2,743 "
2661, 12 ," 2,898 "
2310, 12 ," 10,409 "
2356, 12 ," 2,621 "
2822, 11 ," 2,710 "
2633, 11 ," 2,621 "
2838, 10 ," 3,041 "
2721, 9 ," 1,994 "
2755, 9 ," 2,486 "
2808, 8 ," 1,920 "
2123, 8 ," 2,529 "
2475, 7 ," 1,758 "
2826, 7 ," 2,486 "
2678, 7 ," 1,764 "
2013, 7 ," 1,390 "
2410, 7 ," 1,684 "
2006, 6 ," 1,575 "
2898, 5 ," 1,018 "
2522, 5 , 943 
3586, 5 ," 2,105 "
2624, 5 ," 1,229 "
2521, 4 , 934 
2743, 4 , 907 
2458, 4 ," 1,045 "
2078, 4 ," 1,460 "
2014, 4 ," 1,214 "
2561, 3 , 637 
2899, 3 , 413 
2649, 3 , 634 
2708, 3 , 412 
2734, 3 , 642 
2736, 3 , 985 
2202, 3 , 711 
2332, 3 , 971 
2240, 3 , 790 
2252, 3 ," 1,772 "
2411, 3 , 971 
2187, 3 , 780 
2314, 3 , 818 
2764, 2 , 525 
2682, 2 , 530 
2796, 2 , 530 
2511, 2 ," 1,132 "
2690, 2 , 525 
2856, 2 , 372 
2740, 2 , 530 
2950, 2 , 377 
2005, 2 , 374 
2348, 2 ," 1,115 "
2368, 2 , 525 
2331, 2 , 377 
2418, 2 , 720 
2201, 2 , 372 
2180, 2 , 379 
2053, 2 , 377 
2184, 2 , 374 
2255, 2 , 525 
2051, 2 , 447 
2169, 2 , 224 
2003, 2 , 377 
2109, 2 , 520 
2098, 2 , 530 
2215, 2 , 520 
2886, 1 , 265 
2741, 1 , 260 
2501, 1 , 265 
2664, 1 , 265 
2802, 1 , 341 
2723, 1 , 265 
2654, 1 , 260 
2724, 1 , 446 
2819, 1 , 446 
2468, 1 , 265 
2744, 1 , 260 
2435, 1 , 265 
2688, 1 , 112 
2461, 1 , 112 
2890, 1 , 112 
2507, 1 , 265 
2928, 1 , 265 
2432, 1 , 265 
2699, 1 , 112 
2532, 1 , 260 
2547, 1 , 260 
2509, 1 , 265 
2704, 1 , 112 
2817, 1 , 265 
2718, 1 , 455 
2459, 1 , 186 
2687, 1 , 112 
2853, 1 , 260 
2772, 1 , 265 
2593, 1 , 872 
2889, 1 , 265 
2936, 1 , 265 
2897, 1 , 260 
2970, 1 , 260 
2523, 1 , 260 
2978, 1 , 189 
2930, 1 , 455 
2981, 1 , 112 
2995, 1 , 260 
2442, 1 , 855 
2975, 1 , 265 
2814, 1 , 446 
2980, 1 , 260 
2496, 1 , 265 
2983, 1 , 265 
2451, 1 , 260 
2696, 1 , 114 
2542, 1 , 114 
2543, 1 , 260 
2513, 1 , 855 
2497, 1 , 335 
2679, 1 , 114 
2788, 1 , 260 
2735, 1 , 112 
2363, 1 , 260 
2253, 1 , 260 
2375, 1 , 265 
2004, 1 , 265 
2277, 1 , 114 
2056, 1 , 112 
2244, 1 , 260 
2242, 1 , 855 
2366, 1 , 265 
2236, 1 , 260 
2239, 1 , 265 
2376, 1 , 872 
2414, 1 , 112 
2188, 1 , 265 
2237, 1 , 455 
2270, 1 , 446 
2378, 1 , 265 
2377, 1 , 265 
2247, 1 , 260 
2091, 1 , 455 
2288, 1 , 260 
2389, 1 , 260 
